FRAEX38873_v2_000091870.1 FRAEX38873_v2_000028330.1 FRAEX38873_v2_000086490.1 FRAEX38873_v2_000386730.1 FRAEX38873_v2_000048360.1 FRAEX38873_v2_000267860.1 FRAEX38873_v2_000231520.2 FRAEX38873_v2_000250880.1 FRAEX38873_v2_000349000.1 FRAEX38873_v2_000386360.1 FRAEX38873_v2_000329920.1 FRAEX38873_v2_000076540.1 suscept
3 0 30 26 0 10 10 1013 75 21 51 2 Susceptible
12 0 22 29 0 17 26 1186 97 19 47 12 Susceptible
11 0 30 22 0 19 45 1231 20 9 35 16 Susceptible
15 0 17 28 0 15 21 1432 110 16 41 21 Susceptible
13 0 24 27 0 10 24 1184 35 12 39 15 Susceptible
5 0 14 27 0 3 8 558 72 8 47 6 Susceptible
21 0 31 22 1 16 31 1348 27 6 36 21 Susceptible
40 0 53 11 0 15 47 852 2 5 34 21 Tolerant
80 151 59 10 6 65 68 740 5 2 22 78 Tolerant
83 73 74 5 23 25 41 769 0 2 23 67 Tolerant
75 0 51 12 14 36 71 360 27 5 24 23 Tolerant
83 0 53 3 3 51 61 542 9 5 18 70 Tolerant
50 0 60 2 15 52 72 681 2 2 14 37 Tolerant
145 0 49 3 29 54 70 428 8 2 16 75 Tolerant
